Medium,Messtag,Wuchshöhe,Matrikelnummer
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,1,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.0,2139315
Normal,2,0.3333333333333333,2139315
Normal,2,0.3333333333333333,2139315
Normal,2,0.6666666666666666,2139315
Normal,2,0.6666666666666666,2139315
Normal,2,0.6666666666666666,2139315
Normal,2,1.0,2139315
Normal,2,1.0,2139315
Normal,2,1.3333333333333333,2139315
Normal,2,1.6666666666666667,2139315
Normal,2,2.0,2139315
Normal,3,0.0,2139315
Normal,3,0.0,2139315
Normal,3,0.0,2139315
Normal,3,0.0,2139315
Normal,3,1.0,2139315
Normal,3,1.0,2139315
Normal,3,1.0,2139315
Normal,3,1.6666666666666667,2139315
Normal,3,1.6666666666666667,2139315
Normal,3,2.0,2139315
Normal,3,2.0,2139315
Normal,3,2.0,2139315
Normal,3,3.0,2139315
Normal,3,3.0,2139315
Normal,3,3.0,2139315
Normal,3,3.0,2139315
Normal,3,3.0,2139315
Normal,3,3.3333333333333335,2139315
Normal,3,4.666666666666667,2139315
Normal,3,4.666666666666667,2139315
Normal,4,0.0,2139315
Normal,4,0.0,2139315
Normal,4,1.0,2139315
Normal,4,1.0,2139315
Normal,4,1.3333333333333333,2139315
Normal,4,2.0,2139315
Normal,4,2.3333333333333335,2139315
Normal,4,3.0,2139315
Normal,4,5.0,2139315
Normal,4,5.0,2139315
Normal,4,6.333333333333333,2139315
Normal,4,7.0,2139315
Normal,4,7.333333333333333,2139315
Normal,4,7.666666666666667,2139315
Normal,4,11.0,2139315
Normal,4,11.666666666666666,2139315
Normal,4,12.666666666666666,2139315
Normal,4,13.666666666666666,2139315
Normal,4,14.333333333333334,2139315
Normal,4,18.666666666666668,2139315
Normal,5,0.0,2139315
Normal,5,0.0,2139315
Normal,5,1.0,2139315
Normal,5,1.0,2139315
Normal,5,3.0,2139315
Normal,5,4.0,2139315
Normal,5,4.0,2139315
Normal,5,4.333333333333333,2139315
Normal,5,11.0,2139315
Normal,5,11.0,2139315
Normal,5,12.0,2139315
Normal,5,17.333333333333332,2139315
Normal,5,20.0,2139315
Normal,5,28.0,2139315
Normal,5,32.666666666666664,2139315
Normal,5,34.0,2139315
Normal,5,35.333333333333336,2139315
Normal,5,38.666666666666664,2139315
Normal,5,40.0,2139315
Normal,5,41.333333333333336,2139315
Normal,6,0.0,2139315
Normal,6,0.0,2139315
Normal,6,1.0,2139315
Normal,6,1.0,2139315
Normal,6,4.0,2139315
Normal,6,6.5,2139315
Normal,6,9.0,2139315
Normal,6,15.0,2139315
Normal,6,25.5,2139315
Normal,6,26.5,2139315
Normal,6,32.5,2139315
Normal,6,34.5,2139315
Normal,6,35.0,2139315
Normal,6,42.0,2139315
Normal,6,49.0,2139315
Normal,6,49.5,2139315
Normal,6,50.0,2139315
Normal,6,51.5,2139315
Normal,6,53.5,2139315
Normal,6,54.0,2139315
Normal,7,0.0,2139315
Normal,7,0.0,2139315
Normal,7,1.0,2139315
Normal,7,4.0,2139315
Normal,7,4.5,2139315
Normal,7,11.5,2139315
Normal,7,12.0,2139315
Normal,7,36.0,2139315
Normal,7,37.5,2139315
Normal,7,39.0,2139315
Normal,7,41.5,2139315
Normal,7,44.0,2139315
Normal,7,50.0,2139315
Normal,7,51.5,2139315
Normal,7,59.0,2139315
Normal,7,59.0,2139315
Normal,7,60.5,2139315
Normal,7,61.0,2139315
Normal,7,64.0,2139315
Normal,7,64.0,2139315
Normal,8,0.0,2139315
Normal,8,1.6666666666666667,2139315
Normal,8,2.6666666666666665,2139315
Normal,8,4.0,2139315
Normal,8,9.333333333333334,2139315
Normal,8,20.333333333333332,2139315
Normal,8,23.333333333333332,2139315
Normal,8,40.0,2139315
Normal,8,41.666666666666664,2139315
Normal,8,51.333333333333336,2139315
Normal,8,52.0,2139315
Normal,8,54.0,2139315
Normal,8,54.666666666666664,2139315
Normal,8,56.666666666666664,2139315
Normal,8,63.666666666666664,2139315
Normal,8,64.0,2139315
Normal,8,66.66666666666667,2139315
Normal,8,68.33333333333333,2139315
Normal,8,70.0,2139315
Normal,8,70.66666666666667,2139315
Normal,9,0.0,2139315
Normal,9,2.0,2139315
Normal,9,3.0,2139315
Normal,9,4.0,2139315
Normal,9,26.0,2139315
Normal,9,29.333333333333332,2139315
Normal,9,31.0,2139315
Normal,9,43.666666666666664,2139315
Normal,9,46.666666666666664,2139315
Normal,9,52.0,2139315
Normal,9,54.333333333333336,2139315
Normal,9,63.333333333333336,2139315
Normal,9,64.0,2139315
Normal,9,67.0,2139315
Normal,9,68.33333333333333,2139315
Normal,9,69.0,2139315
Normal,9,69.0,2139315
Normal,9,70.0,2139315
Normal,9,73.0,2139315
Normal,9,74.66666666666667,2139315
Normal,10,0.0,2139315
Normal,10,2.0,2139315
Normal,10,3.0,2139315
Normal,10,5.0,2139315
Normal,10,32.0,2139315
Normal,10,42.0,2139315
Normal,10,43.0,2139315
Normal,10,47.5,2139315
Normal,10,48.0,2139315
Normal,10,54.5,2139315
Normal,10,56.0,2139315
Normal,10,67.0,2139315
Normal,10,69.0,2139315
Normal,10,69.0,2139315
Normal,10,69.0,2139315
Normal,10,70.0,2139315
Normal,10,72.0,2139315
Normal,10,73.0,2139315
Normal,10,74.0,2139315
Normal,10,75.0,2139315
Normal,11,0.0,2139315
Normal,11,2.0,2139315
Normal,11,3.0,2139315
Normal,11,5.0,2139315
Normal,11,34.0,2139315
Normal,11,44.0,2139315
Normal,11,48.0,2139315
Normal,11,50.0,2139315
Normal,11,52.0,2139315
Normal,11,55.0,2139315
Normal,11,56.0,2139315
Normal,11,69.0,2139315
Normal,11,69.0,2139315
Normal,11,70.0,2139315
Normal,11,70.0,2139315
Normal,11,70.0,2139315
Normal,11,72.0,2139315
Normal,11,73.0,2139315
Normal,11,74.0,2139315
Normal,11,78.0,2139315
Normal,12,0.0,2139315
Normal,12,2.0,2139315
Normal,12,3.0,2139315
Normal,12,5.0,2139315
Normal,12,35.0,2139315
Normal,12,48.0,2139315
Normal,12,48.0,2139315
Normal,12,50.0,2139315
Normal,12,55.0,2139315
Normal,12,56.0,2139315
Normal,12,58.0,2139315
Normal,12,69.0,2139315
Normal,12,70.0,2139315
Normal,12,70.0,2139315
Normal,12,70.0,2139315
Normal,12,70.0,2139315
Normal,12,72.0,2139315
Normal,12,73.0,2139315
Normal,12,74.0,2139315
Normal,12,78.0,2139315
Normal,13,0.0,2139315
Normal,13,2.0,2139315
Normal,13,3.0,2139315
Normal,13,5.0,2139315
Normal,13,36.0,2139315
Normal,13,48.0,2139315
Normal,13,50.0,2139315
Normal,13,50.0,2139315
Normal,13,55.0,2139315
Normal,13,56.0,2139315
Normal,13,59.0,2139315
Normal,13,69.0,2139315
Normal,13,70.0,2139315
Normal,13,70.0,2139315
Normal,13,70.0,2139315
Normal,13,70.0,2139315
Normal,13,72.0,2139315
Normal,13,73.0,2139315
Normal,13,75.0,2139315
Normal,13,78.0,2139315
Normal,14,0.0,2139315
Normal,14,2.0,2139315
Normal,14,3.0,2139315
Normal,14,5.0,2139315
Normal,14,37.0,2139315
Normal,14,48.0,2139315
Normal,14,50.0,2139315
Normal,14,50.0,2139315
Normal,14,55.0,2139315
Normal,14,56.0,2139315
Normal,14,61.0,2139315
Normal,14,69.0,2139315
Normal,14,70.0,2139315
Normal,14,70.0,2139315
Normal,14,70.0,2139315
Normal,14,70.0,2139315
Normal,14,72.0,2139315
Normal,14,73.0,2139315
Normal,14,75.0,2139315
Normal,14,78.0,2139315
Acidic,1,0.0,2139315
Acidic,1,0.0,2139315
Acidic,1,0.0,2139315
Acidic,1,0.0,2139315
Acidic,1,0.0,2139315
Acidic,1,0.0,2139315
